link,phanLoai,boNganh
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15164&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15163&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14445&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15162&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14446&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15161&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14447&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14448&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15160&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15159&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14450&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15158&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14451&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15157&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15156&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14452&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14553&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15155&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14453&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15154&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14454&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14455&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15153&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15152&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14456&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
